EntityID,AddressLine,Locality,AdminDistrict,PostalCode,CountryRegion,Phone,Manager,Latitude,Longitude
1377257,290 TOWNSEND ST,San Francisco,CA,28856,United States,,,37.77775522,-122.3948078
1332561,100 PINE ST,San Francisco,CA,28860,United States,,,37.79264072,-122.3989703
1332563,560 MISSION ST,San Francisco,CA,28855,United States,,,37.78886472,-122.3993594
1334506,Assessors Block 4241/Lot002,San Francisco,CA,28856,United States,,,37.75334,-122.3841284
1336024,340 10TH ST,San Francisco,CA,28853,United States,,,37.77200984,-122.4124628
1332562,430 CALIFORNIA ST,San Francisco,CA,28854,United States,,,37.79326221,-122.4017891
1408986,555 MISSION ST,San Francisco,CA,28855,United States,,,37.78844616,-122.3986412
1408991,1 BUSH ST,San Francisco,CA,28854,United States,,,37.79092151,-122.4001004
1171819,58 MAIN ST,San Francisco,CA,28855,United States,,,37.79210934,-122.3958039
1297766,1610 ARMSTRONG AVE,San Francisco,CA,58,United States,,,37.72659436,-122.3923556
1338993,340 BRANNAN ST,San Francisco,CA,28856,United States,,,37.78126469,-122.393229
1385047,525 BRANNAN ST,San Francisco,CA,28856,United States,,,37.77751326,-122.3970441
1334496,Assessors Block 4172/Lot010,San Francisco,CA,28856,United States,,,37.75712456,-122.3885295
1332510,405 HOWARD ST,San Francisco,CA,28855,United States,,,37.78853001,-122.3951443
1332519,555 MISSION ST,San Francisco,CA,28855,United States,,,37.78844616,-122.3986412
1334509,1650 03RD ST,San Francisco,CA,310,United States,,,37.76912441,-122.3914749
1334502,Assessors Block 4103/Lot023A,San Francisco,CA,28856,United States,,,37.7583034,-122.3935141
1334599,551 03RD ST,San Francisco,CA,28856,United States,,,37.78064721,-122.3946292
1334493,Assessors Block 8722/Lot003,San Francisco,CA,310,United States,,,37.76743302,-122.3921491
1334504,50 QUINT ST,San Francisco,CA,58,United States,,,37.74647051,-122.3889908
1334524,Assessors Block 4296/Lot010,San Francisco,CA,28856,United States,,,37.75240499,-122.3870002
1334512,400 ALEMANY BLVD,San Francisco,CA,28859,United States,,,37.7331424,-122.4145686
1334505,435 23RD ST,San Francisco,CA,28856,United States,,,37.75503073,-122.3845307
1334511,3201 03RD ST,San Francisco,CA,58,United States,,,37.74844534,-122.386879
1334494,Assessors Block 5598/Lot031,San Francisco,CA,58,United States,,,37.74030387,-122.4060597
1334515,1140 07TH ST,San Francisco,CA,28856,United States,,,37.76824939,-122.3984307
